id,level,kind,source,page,title,reading,status
N2-vocab-0172,N2,vocab,N2 Junbi Từ vựng,54,大別,たいべつ,TITLE_IN_PDF
N2-vocab-0173,N2,vocab,N2 Junbi Từ vựng,54,伝染,でんせん,TITLE_IN_PDF
N2-vocab-0174,N2,vocab,N2 Junbi Từ vựng,55,選出,せんしゅつ,TITLE_IN_PDF
N2-vocab-0175,N2,vocab,N2 Junbi Từ vựng,55,寄付,きふ,TITLE_IN_PDF
N2-vocab-0176,N2,vocab,N2 Junbi Từ vựng,55,先端,せんたん,TITLE_IN_PDF
N2-vocab-0177,N2,vocab,N2 Junbi Từ vựng,55,表現,ひょうげん,TITLE_IN_PDF
N2-vocab-0178,N2,vocab,N2 Junbi Từ vựng,56,明示,めいじ,TITLE_IN_PDF
N2-vocab-0179,N2,vocab,N2 Junbi Từ vựng,56,専属,せんぞく,TITLE_IN_PDF
N2-vocab-0180,N2,vocab,N2 Junbi Từ vựng,56,孤立,こりつ,TITLE_IN_PDF
N2-vocab-0181,N2,vocab,N2 Junbi Từ vựng,57,分別,ぶんべつ,TITLE_IN_PDF
N2-vocab-0182,N2,vocab,N2 Junbi Từ vựng,57,区分,くぶん,TITLE_IN_PDF
N2-vocab-0183,N2,vocab,N2 Junbi Từ vựng,57,現状,げんじょう,TITLE_IN_PDF
N2-vocab-0184,N2,vocab,N2 Junbi Từ vựng,57,移行,いこう,TITLE_IN_PDF
N2-vocab-0185,N2,vocab,N2 Junbi Từ vựng,58,移住,いじゅう,TITLE_IN_PDF
N2-vocab-0186,N2,vocab,N2 Junbi Từ vựng,58,養成,ようせい,TITLE_IN_PDF
N2-vocab-0187,N2,vocab,N2 Junbi Từ vựng,58,考慮,こうりょ,TITLE_IN_PDF
N2-vocab-0188,N2,vocab,N2 Junbi Từ vựng,58,測定,そくてい,TITLE_IN_PDF
N2-vocab-0189,N2,vocab,N2 Junbi Từ vựng,59,提案,ていあん,TITLE_IN_PDF
N2-vocab-0190,N2,vocab,N2 Junbi Từ vựng,59,信仰,しんこう,TITLE_IN_PDF
N2-vocab-0191,N2,vocab,N2 Junbi Từ vựng,60,定着,ていちゃく,TITLE_IN_PDF
N2-vocab-0192,N2,vocab,N2 Junbi Từ vựng,60,愛情,あいじょう,TITLE_IN_PDF
N2-vocab-0193,N2,vocab,N2 Junbi Từ vựng,60,判断,はんだん,TITLE_IN_PDF
N2-vocab-0194,N2,vocab,N2 Junbi Từ vựng,61,凸凹,でこぼこ,TITLE_IN_PDF
N2-vocab-0195,N2,vocab,N2 Junbi Từ vựng,61,教育,きょういく,TITLE_IN_PDF
N2-vocab-0196,N2,vocab,N2 Junbi Từ vựng,61,大臣,だいじん,TITLE_IN_PDF
N2-vocab-0197,N2,vocab,N2 Junbi Từ vựng,61,やる気,き,TITLE_IN_PDF
N2-vocab-0198,N2,vocab,N2 Junbi Từ vựng,61,指摘,してき,TITLE_IN_PDF
N2-vocab-0199,N2,vocab,N2 Junbi Từ vựng,62,決勝戦,けっしょうせん,TITLE_IN_PDF
N2-vocab-0200,N2,vocab,N2 Junbi Từ vựng,62,活気,かっき,TITLE_IN_PDF
N2-vocab-0201,N2,vocab,N2 Junbi Từ vựng,63,放映,ほうえい,TITLE_IN_PDF
N2-vocab-0202,N2,vocab,N2 Junbi Từ vựng,63,採用,さいよう,TITLE_IN_PDF
N2-vocab-0203,N2,vocab,N2 Junbi Từ vựng,64,進出,しんしゅつ,TITLE_IN_PDF
N2-vocab-0204,N2,vocab,N2 Junbi Từ vựng,64,俳優,はいゆう,TITLE_IN_PDF
N2-vocab-0205,N2,vocab,N2 Junbi Từ vựng,64,組織,そしき,TITLE_IN_PDF
N2-vocab-0206,N2,vocab,N2 Junbi Từ vựng,64,真夏,まなつ,TITLE_IN_PDF
N2-vocab-0207,N2,vocab,N2 Junbi Từ vựng,65,政党,せいとう,TITLE_IN_PDF
N2-vocab-0208,N2,vocab,N2 Junbi Từ vựng,65,退場,たいじょう,TITLE_IN_PDF
N2-vocab-0209,N2,vocab,N2 Junbi Từ vựng,65,拡大,かくだい,TITLE_IN_PDF
N2-vocab-0210,N2,vocab,N2 Junbi Từ vựng,65,向上,こうじょう,TITLE_IN_PDF
N2-vocab-0211,N2,vocab,N2 Junbi Từ vựng,66,需要,じゅよう,TITLE_IN_PDF
N2-vocab-0212,N2,vocab,N2 Junbi Từ vựng,66,半球,はんきゅう,TITLE_IN_PDF
N2-vocab-0213,N2,vocab,N2 Junbi Từ vựng,66,投票,とうひょう,TITLE_IN_PDF
N2-vocab-0214,N2,vocab,N2 Junbi Từ vựng,67,主人公,しゅじんこう,TITLE_IN_PDF
N2-vocab-0215,N2,vocab,N2 Junbi Từ vựng,67,区切り,くぎり,TITLE_IN_PDF
N2-vocab-0216,N2,vocab,N2 Junbi Từ vựng,67,雷,かみなり,TITLE_IN_PDF
N2-vocab-0217,N2,vocab,N2 Junbi Từ vựng,67,試し,ためし,TITLE_IN_PDF
N2-vocab-0218,N2,vocab,N2 Junbi Từ vựng,67,保障,ほしょう,TITLE_IN_PDF
N2-vocab-0219,N2,vocab,N2 Junbi Từ vựng,68,筆者,ひっしゃ,TITLE_IN_PDF
N2-vocab-0220,N2,vocab,N2 Junbi Từ vựng,68,休憩,きゅうけい,TITLE_IN_PDF
N2-vocab-0221,N2,vocab,N2 Junbi Từ vựng,69,歌謡曲,かようきょく,TITLE_IN_PDF
N2-vocab-0222,N2,vocab,N2 Junbi Từ vựng,69,候補,こうほ,TITLE_IN_PDF
N2-vocab-0223,N2,vocab,N2 Junbi Từ vựng,69,分配,ぶんぱい,TITLE_IN_PDF
N2-vocab-0224,N2,vocab,N2 Junbi Từ vựng,70,状況,じょうきょう,TITLE_IN_PDF
N2-vocab-0225,N2,vocab,N2 Junbi Từ vựng,70,概要,がいよう,TITLE_IN_PDF
N2-vocab-0226,N2,vocab,N2 Junbi Từ vựng,70,役割,やくわり,TITLE_IN_PDF
N2-vocab-0227,N2,vocab,N2 Junbi Từ vựng,70,異文化,いぶんか,TITLE_IN_PDF
N2-vocab-0228,N2,vocab,N2 Junbi Từ vựng,71,初心者,しょしんしゃ,TITLE_IN_PDF
N2-vocab-0229,N2,vocab,N2 Junbi Từ vựng,71,いたずら,,TITLE_IN_PDF
N2-vocab-0230,N2,vocab,N2 Junbi Từ vựng,71,対等,たいとう,TITLE_IN_PDF
N2-vocab-0231,N2,vocab,N2 Junbi Từ vựng,72,鶴,つる,TITLE_IN_PDF
N2-vocab-0232,N2,vocab,N2 Junbi Từ vựng,72,用具,ようぐ,TITLE_IN_PDF
N2-vocab-0233,N2,vocab,N2 Junbi Từ vựng,72,舌,,TITLE_IN_PDF
N2-vocab-0234,N2,vocab,N2 Junbi Từ vựng,73,原稿,げんこう,TITLE_IN_PDF
N2-vocab-0235,N2,vocab,N2 Junbi Từ vựng,73,改訂,かいてい,TITLE_IN_PDF
N2-vocab-0236,N2,vocab,N2 Junbi Từ vựng,73,証拠,しょうこ,TITLE_IN_PDF
N2-vocab-0237,N2,vocab,N2 Junbi Từ vựng,73,撮影,さつえい,TITLE_IN_PDF
N2-vocab-0238,N2,vocab,N2 Junbi Từ vựng,74,批判,ひはん,TITLE_IN_PDF
N2-vocab-0239,N2,vocab,N2 Junbi Từ vựng,74,思考,しこう,TITLE_IN_PDF
N2-vocab-0240,N2,vocab,N2 Junbi Từ vựng,74,高層,こうそう,TITLE_IN_PDF
N2-vocab-0241,N2,vocab,N2 Junbi Từ vựng,75,提出,ていしゅつ,TITLE_IN_PDF
N2-vocab-0242,N2,vocab,N2 Junbi Từ vựng,75,議論,ぎろん,TITLE_IN_PDF
N2-vocab-0243,N2,vocab,N2 Junbi Từ vựng,76,姿,すがた,TITLE_IN_PDF
