id,source,page,title,status,old_len,new_len
N2-vocab-0216,N2 Junbi Từ vựng,67,雷,replaced,83,83
N2-vocab-0217,N2 Junbi Từ vựng,67,試し,replaced,80,80
N2-vocab-0218,N2 Junbi Từ vựng,67,保障,replaced,72,72
N2-vocab-0219,N2 Junbi Từ vựng,68,筆者,replaced,66,66
N2-vocab-0220,N2 Junbi Từ vựng,68,休憩,replaced,77,77
N2-vocab-0221,N2 Junbi Từ vựng,69,歌謡曲,replaced,77,77
N2-vocab-0222,N2 Junbi Từ vựng,69,候補,replaced,104,104
N2-vocab-0223,N2 Junbi Từ vựng,69,分配,replaced,52,66
N2-vocab-0224,N2 Junbi Từ vựng,70,状況,replaced,118,118
N2-vocab-0225,N2 Junbi Từ vựng,70,概要,replaced,59,59
N2-vocab-0226,N2 Junbi Từ vựng,70,役割,replaced,163,163
N2-vocab-0227,N2 Junbi Từ vựng,70,異文化,replaced,37,37
N2-vocab-0228,N2 Junbi Từ vựng,71,初心者,replaced,77,77
N2-vocab-0229,N2 Junbi Từ vựng,71,いたずら,replaced,122,122
N2-vocab-0230,N2 Junbi Từ vựng,71,対等,replaced,119,119
N2-vocab-0231,N2 Junbi Từ vựng,72,鶴,replaced,72,72
N2-vocab-0232,N2 Junbi Từ vựng,72,用具,replaced,96,96
N2-vocab-0233,N2 Junbi Từ vựng,72,舌,replaced,119,133
N2-vocab-0234,N2 Junbi Từ vựng,73,原稿,replaced,96,96
N2-vocab-0235,N2 Junbi Từ vựng,73,改訂,replaced,124,124
N2-vocab-0236,N2 Junbi Từ vựng,73,証拠,replaced,119,119
N2-vocab-0237,N2 Junbi Từ vựng,73,撮影,replaced,48,48
N2-vocab-0238,N2 Junbi Từ vựng,74,批判,replaced,162,162
N2-vocab-0239,N2 Junbi Từ vựng,74,思考,replaced,76,76
N2-vocab-0240,N2 Junbi Từ vựng,74,高層,replaced,66,66
N2-vocab-0241,N2 Junbi Từ vựng,75,提出,replaced,78,78
N2-vocab-0242,N2 Junbi Từ vựng,75,議論,replaced,156,170
N2-vocab-0243,N2 Junbi Từ vựng,76,姿,replaced,250,85
N2-vocab-0244,N2 Junbi Từ vựng,76,共同,replaced,78,78
N2-vocab-0245,N2 Junbi Từ vựng,76,転職,replaced,107,288
N2-vocab-0246,N2 Junbi Từ vựng,76,日差し,not_found,19,
N2-vocab-0247,N2 Junbi Từ vựng,77,絵画展,replaced,72,72
N2-vocab-0248,N2 Junbi Từ vựng,77,採集,replaced,91,91
N2-vocab-0249,N2 Junbi Từ vựng,77,取得,replaced,75,75
N2-vocab-0250,N2 Junbi Từ vựng,77,天候,replaced,82,82
N2-vocab-0251,N2 Junbi Từ vựng,79,疑問,replaced,131,131
N2-vocab-0252,N2 Junbi Từ vựng,79,専攻,replaced,109,123
N2-vocab-0253,N2 Junbi Từ vựng,80,防犯,replaced,107,107
N2-vocab-0254,N2 Junbi Từ vựng,80,事業,replaced,82,82
N2-vocab-0255,N2 Junbi Từ vựng,80,予想,replaced,104,104
N2-vocab-0256,N2 Junbi Từ vựng,80,誤解,replaced,89,89
N2-vocab-0257,N2 Junbi Từ vựng,81,気候,replaced,102,102
N2-vocab-0258,N2 Junbi Từ vựng,81,講座,replaced,96,96
N2-vocab-0259,N2 Junbi Từ vựng,81,設計,replaced,99,99
N2-vocab-0260,N2 Junbi Từ vựng,81,受賞,replaced,56,56
N2-vocab-0261,N2 Junbi Từ vựng,82,要点,replaced,83,83
N2-vocab-0262,N2 Junbi Từ vựng,82,購入,replaced,66,66
N2-vocab-0263,N2 Junbi Từ vựng,82,再発,replaced,116,130
N2-vocab-0264,N2 Junbi Từ vựng,83,講演,replaced,184,184
N2-vocab-0265,N2 Junbi Từ vựng,83,対策,replaced,110,87
N2-vocab-0266,N2 Junbi Từ vựng,83,優先,replaced,77,77
N2-vocab-0267,N2 Junbi Từ vựng,83,勤務,replaced,107,102
N2-vocab-0268,N2 Junbi Từ vựng,84,覚悟,replaced,113,156
N2-vocab-0269,N2 Junbi Từ vựng,84,手数料,replaced,91,48
N2-vocab-0270,N2 Junbi Từ vựng,84,記録,replaced,132,132
N2-vocab-0271,N2 Junbi Từ vựng,85,免許,replaced,76,66
N2-vocab-0272,N2 Junbi Từ vựng,85,手前,replaced,118,122
N2-vocab-0273,N2 Junbi Từ vựng,85,演技,replaced,127,141
N2-vocab-0274,N2 Junbi Từ vựng,86,監督,replaced,99,99
N2-vocab-0275,N2 Junbi Từ vựng,86,出場,replaced,73,73
N2-vocab-0276,N2 Junbi Từ vựng,86,選択,replaced,50,50
N2-vocab-0277,N2 Junbi Từ vựng,86,演奏,replaced,102,168
N2-vocab-0278,N2 Junbi Từ vựng,86,仕組み,replaced,131,66
N2-vocab-0279,N2 Junbi Từ vựng,87,一変,replaced,77,77
N2-vocab-0280,N2 Junbi Từ vựng,87,援助,replaced,84,84
N2-vocab-0281,N2 Junbi Từ vựng,88,伝言,replaced,153,143
