id,type,before,after
N3-vocab-0746,extra_manual,"{""title"": ""(を)つなげる"", ""reading"": """", ""meaning_vi"": ""Kết nối""}","{""title"": ""(を)つなげる"", ""reading"": ""つなげる"", ""meaning_vi"": ""Kết nối""}"
N3-vocab-0753,extra_manual,"{""title"": ""(が)そろう"", ""reading"": """", ""meaning_vi"": ""1. Tập trung (đầy đủ) 2. Đồng bộ (tông xoẹt tông) 3. Thống nhất""}","{""title"": ""(が)そろう"", ""reading"": ""そろう"", ""meaning_vi"": ""1. Tập trung (đầy đủ) 2. Đồng bộ (tông xoẹt tông) 3. Thống nhất""}"
N3-vocab-0754,extra_manual,"{""title"": ""そろえる"", ""reading"": """", ""meaning_vi"": ""1. Sắp xếp, để ngay ngắn 2. Tập trung (sẵn sàng, đầy đủ)""}","{""title"": ""そろえる"", ""reading"": ""そろえる"", ""meaning_vi"": ""1. Sắp xếp, để ngay ngắn 2. Tập trung (sẵn sàng, đầy đủ)""}"
N3-vocab-0755,extra_manual,"{""title"": ""(が)まとまる"", ""reading"": """", ""meaning_vi"": ""Được thống nhất""}","{""title"": ""(が)まとまる"", ""reading"": ""まとまる"", ""meaning_vi"": ""Được thống nhất""}"
N3-vocab-0756,extra_manual,"{""title"": ""(を)まとめる"", ""reading"": """", ""meaning_vi"": ""Tổng hợp, thống nhất, tập trung 名:まとめ (Tổng hợp)""}","{""title"": ""(を)まとめる"", ""reading"": ""まとめる"", ""meaning_vi"": ""Tổng hợp, thống nhất, tập trung 名:まとめ (Tổng hợp)""}"
N3-vocab-0761,extra_manual,"{""title"": ""まざる"", ""reading"": """", ""meaning_vi"": ""1. AB が交ざる: Trộn A, B với nhau""}","{""title"": ""まざる"", ""reading"": ""まざる"", ""meaning_vi"": ""1. AB が交ざる: Trộn A, B với nhau""}"
N3-vocab-0762,extra_manual,"{""title"": ""(を)まぜる"", ""reading"": """", ""meaning_vi"": ""1.交ぜる:trộn lẫn (không tan)""}","{""title"": ""(を)まぜる"", ""reading"": ""まぜる"", ""meaning_vi"": ""1.交ぜる:trộn lẫn (không tan)""}"
N3-vocab-0713/N3-vocab-0714,special_pdf_split,意味1 / (が)移る bị gộp,(が)移る và (を)移す được tách lại
N2-vocab-0049,data_changed,"{""title"": ""補足"", ""reading"": """", ""meaning_vi"": ""Bổ túc, bổ sung""}","{""title"": ""補足"", ""reading"": ""ほそく"", ""meaning_vi"": ""Bổ túc, bổ sung""}"
N2-vocab-0050,data_changed,"{""title"": ""催促"", ""reading"": """", ""meaning_vi"": ""Thúc giục, hối thúc""}","{""title"": ""催促"", ""reading"": ""さいそく"", ""meaning_vi"": ""Thúc giục, hối thúc""}"
N2-vocab-0083,data_changed,"{""title"": ""謝り"", ""reading"": """", ""meaning_vi"": ""Sai, nhầm, lỗi""}","{""title"": ""誤り"", ""reading"": ""あやまり"", ""meaning_vi"": ""Sai, nhầm, lỗi""}"
N2-vocab-0107,data_changed,"{""title"": ""初歩"", ""reading"": ""しょほ"", ""meaning_vi"": ""Đánh giá/Có tiếng""}","{""title"": ""初歩"", ""reading"": ""しょほ"", ""meaning_vi"": ""Sơ cấp, bước đầu""}"
N2-vocab-0125,data_changed,"{""title"": ""上達"", ""reading"": ""じょうたつ"", ""meaning_vi"": ""Đánh giá/Có tiếng""}","{""title"": ""上達"", ""reading"": ""じょうたつ"", ""meaning_vi"": ""Tiến bộ""}"
N2-vocab-0126,data_changed,"{""title"": ""視察"", ""reading"": ""しさつ"", ""meaning_vi"": ""Đánh giá/Có tiếng""}","{""title"": ""視察"", ""reading"": ""しさつ"", ""meaning_vi"": ""Thị sát""}"
N2-vocab-0197,data_changed,"{""title"": ""やる気"", ""reading"": ""き"", ""meaning_vi"": ""Hứng thú""}","{""title"": ""やる気"", ""reading"": ""やるき"", ""meaning_vi"": ""Hứng thú""}"
N2-vocab-0313,data_changed,"{""title"": ""皮膚"", ""reading"": ""ひふ"", ""meaning_vi"": ""Vươn ra/Sự tiến lên""}","{""title"": ""皮膚"", ""reading"": ""ひふ"", ""meaning_vi"": ""Da, làn da""}"
N2-vocab-0344,data_changed,"{""title"": ""生きがい"", ""reading"": """", ""meaning_vi"": ""Lẽ sống""}","{""title"": ""生きがい"", ""reading"": ""いきがい"", ""meaning_vi"": ""Lẽ sống""}"
N2-vocab-0350,data_changed,"{""title"": ""処分"", ""reading"": """", ""meaning_vi"": ""Sự tống khứ, bỏ đi/ Sự phạt, trừng phạt""}","{""title"": ""処分"", ""reading"": ""しょぶん"", ""meaning_vi"": ""Sự tống khứ, bỏ đi/ Sự phạt, trừng phạt""}"
N2-vocab-0377,data_changed,"{""title"": ""た目"", ""reading"": ""みめ"", ""meaning_vi"": ""Vẻ bề ngoài, dáng vẻ""}","{""title"": ""見た目"", ""reading"": ""みため"", ""meaning_vi"": ""Vẻ bề ngoài, dáng vẻ""}"
N2-vocab-0423,data_changed,"{""title"": ""叶う"", ""reading"": ""かのう"", ""meaning_vi"": ""Trở thành sự thực""}","{""title"": ""叶う"", ""reading"": ""かなう"", ""meaning_vi"": ""Trở thành sự thực""}"
N2-vocab-0471,data_changed,"{""title"": ""屈む"", ""reading"": ""かかむ"", ""meaning_vi"": ""Khom lưng, cúi gập người""}","{""title"": ""屈む"", ""reading"": ""かがむ"", ""meaning_vi"": ""Khom lưng, cúi gập người""}"
N2-vocab-0545,data_changed,"{""title"": ""ひっくり返す"", ""reading"": """", ""meaning_vi"": ""Đảo lộn, lật ngược""}","{""title"": ""ひっくり返す"", ""reading"": ""ひっくりかえす"", ""meaning_vi"": ""Đảo lộn, lật ngược""}"
N2-vocab-0584,data_changed,"{""title"": ""引き止める"", ""reading"": ""ひとめる"", ""meaning_vi"": ""Kéo lại, níu kéo""}","{""title"": ""引き止める"", ""reading"": ""ひきとめる"", ""meaning_vi"": ""Kéo lại, níu kéo""}"
N2-vocab-0614,data_changed,"{""title"": ""繰り返す"", ""reading"": ""くりかえす"", ""meaning_vi"": ""Đảm nhiệm, phụ trách""}","{""title"": ""繰り返す"", ""reading"": ""くりかえす"", ""meaning_vi"": ""Lặp lại""}"
N2-vocab-0633,data_changed,"{""title"": ""〜を騒がす"", ""reading"": """", ""meaning_vi"": ""Ồn ào, gây xôn xao dư luận""}","{""title"": ""〜を騒がす"", ""reading"": ""さわがす"", ""meaning_vi"": ""Ồn ào, gây xôn xao dư luận""}"
N2-vocab-0645,data_changed,"{""title"": ""連絡先を教えて頂けますでしょうか"", ""reading"": """", ""meaning_vi"": """"}","{""title"": ""連絡先を教えて頂けますでしょうか"", ""reading"": ""れんらくさきをおしえていただけますでしょうか"", ""meaning_vi"": """"}"
