id,issue,title,reading,kana_in_title,meaning,page
N3-vocab-0496,reading_may_miss_okurigana,が覚める,さめる,がめる,Tỉnh giấc,169
N3-vocab-0501,short_kana_title_check,クラスメート,,,Bạn cùng lớp,171
N3-vocab-0502,short_kana_title_check,グループ,,,Nhóm,171
N3-vocab-0503,short_kana_title_check,チーム,,,Đội (team),171
N3-vocab-0504,short_kana_title_check,プロ,,,Chuyên nghiệp,172
N3-vocab-0505,short_kana_title_check,アマ,,,Nghiệp dư,172
N3-vocab-0506,short_kana_title_check,トレーニング,,,Luyện tập,172
N3-vocab-0507,short_kana_title_check,マッサージ,,,Xoa bóp (massage),172
N3-vocab-0508,short_kana_title_check,アドバイス,,,・ A:「先輩!!可愛,173
N3-vocab-0509,short_kana_title_check,アイデア・,,,Ý tưởng,173
N3-vocab-0510,short_kana_title_check,トップ,,,"1. Đứng đầu (top) 合:トップバッター (Người mở màn, mở đầu) 2. Nổi bật, quan trọng",174
N3-vocab-0511,short_kana_title_check,スピード,,,Tốc độ,174
N3-vocab-0512,short_kana_title_check,ラッシュ,,,Cao điểm,175
N3-vocab-0513,short_kana_title_check,バイク,,,Xe máy,175
N3-vocab-0514,short_kana_title_check,ヘルメット,,,蓮:ヘルメットをかぶる (Đội mũ bảo hiểm) Mũ bảo hiểm,175
N3-vocab-0515,short_kana_title_check,コンタクト,,,Kính áp tròng,175
N3-vocab-0516,short_kana_title_check,ガラス,,,"Thuỷ tinh, kính 合:窓ガラス (Kính cửa sổ)",176
N3-vocab-0517,short_kana_title_check,プラスチック,,,関:ビニール (Ni lông) Nhựa,176
N3-vocab-0518,short_kana_title_check,ベランダ,,,Ban công,176
N3-vocab-0519,short_kana_title_check,ペット,,,"合:ペットショップ:Cửa hàng bán đồ cho thú cưng Thú cưng, động vật cảnh",176
N3-vocab-0520,short_kana_title_check,ベンチ,,,Ghế (ghế dài),176
N3-vocab-0521,short_kana_title_check,デザイン,,,Thiết kế,177
N3-vocab-0523,short_kana_title_check,パート,,,1.Làm bán thời gian 2. Một phần,178
N3-vocab-0524,short_kana_title_check,コンビニ,,,Cửa hàng tiện lợi,178
N3-vocab-0525,short_kana_title_check,レジ,,,1. Máy tính tiền 2. Nhân viên thu ngân 3. Quầy thu ngân,178
N3-vocab-0526,short_kana_title_check,レシート,,,Hoá đơn,179
N3-vocab-0527,short_kana_title_check,インスタント,,,"Ăn liền, có sẵn",179
N3-vocab-0529,short_kana_title_check,フルーツ,,,Trái cây,180
N3-vocab-0530,short_kana_title_check,デザート,,,Món tráng miệng,180
N3-vocab-0532,short_kana_title_check,チャイム,,,Chuông,181
N3-vocab-0533,short_kana_title_check,アナウンス,,,関:アナウンサー:Phát thanh viên Thông báo,181
N3-vocab-0534,short_kana_title_check,メッセージ,,,1. Lời nhắn 2. Thông điệp,181
